,R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,better_rank
894,Diego Sanchez,Craig White,175,-210,175.0,47.61904762,9/8/2018,"Dallas, Texas, USA", USA,Red,False,Welterweight,MALE,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,187.96,193.04,170,2,0,0,6,11,70,2,0,3,8,5,0,0,16,Southpaw,177.8,182.88,170,36,28,1,0,-6,-16,10,-69,-2,-5,0,10.16,10.16,8,-27.296296299999998,-0.666666667,-1.037037037,0,1,neither
895,Jim Miller,Alex White,155,-175,155.0,57.14285714,9/8/2018,"Dallas, Texas, USA", USA,Red,False,Lightweight,MALE,3,1,0,0,1,4,18,0,0,0,1,2,0,0,3,Southpaw,182.88,180.34,155,4,0,0,7,12,69,0,0,2,6,3,6,0,17,Southpaw,172.72,180.34,155,35,29,3,0,-6,-14,8,-51,0,-1,-6,10.16,0.0,6,16.0,-1.201970443,-0.492610838,0,1,neither
896,Irene Aldana,Lucie Pudilova,-110,-110,90.90909091,90.90909091,9/8/2018,"Dallas, Texas, USA", USA,Red,False,Women's Bantamweight,FEMALE,3,0,2,0,2,1,9,0,0,0,2,0,0,0,2,Orthodox,172.72,170.18,125,0,1,0,1,2,9,0,0,0,1,0,0,0,1,Orthodox,175.26,172.72,135,30,24,0,1,1,1,1,0,0,0,0,-2.54,-2.54,6,-11.66666666,0.666666667,-0.666666667,0,1,Red
897,Roberto Sanchez,Jarred Brooks,175,-190,175.0,52.63157895,9/8/2018,"Dallas, Texas, USA", USA,Blue,False,Flyweight,MALE,3,2,0,0,1,2,8,0,0,1,0,0,0,0,1,Switch,160.02,157.48,125,0,1,0,1,1,2,0,0,0,0,0,1,0,1,Orthodox,167.64,167.64,125,32,25,-2,-1,0,0,-1,6,0,0,-1,-7.62,-10.16,7,27.33333333,-0.166666667,2.666666667,0,1,neither
898,Justin Gaethje,James Vick,120,-140,120.0,71.42857143,8/25/2018,"Lincoln, Nebraska, USA", USA,Red,False,Lightweight,MALE,5,0,4,0,5,1,21,0,0,0,4,2,3,0,9,Orthodox,190.5,193.04,155,2,0,0,1,2,9,0,0,0,0,1,0,0,1,Orthodox,180.34,177.8,155,29,31,2,4,4,8,1,12,0,1,3,10.16,15.24,-2,-75.16666670000001,0.5,0.2,0,1,Red
899,Michael Johnson,Andre Fili,100,-120,100.0,83.33333333,8/25/2018,"Lincoln, Nebraska, USA", USA,Red,False,Featherweight,MALE,3,0,2,0,2,4,24,0,0,1,3,2,0,0,6,Orthodox,180.34,187.96,145,3,0,0,4,9,44,1,0,0,5,4,0,0,9,Southpaw,177.8,185.42,145,32,28,3,2,-2,-3,5,-20,-1,-2,0,2.54,2.54,4,-3.3,0.04444444400000001,1.655555556,0,1,neither
900,Cortney Casey,Angela Hill,115,-135,115.0,74.07407407,8/25/2018,"Lincoln, Nebraska, USA", USA,Red,False,Women's Strawweight,FEMALE,3,0,1,0,1,4,19,0,0,0,3,0,0,0,3,Orthodox,160.02,162.56,115,2,0,0,2,5,20,0,0,0,1,1,1,0,3,Orthodox,170.18,170.18,115,31,33,2,1,-1,0,1,-1,0,-1,-1,-10.16,-7.62,-2,18.48214286,-0.5,0.035714286,0,1,Red
901,Jake Ellenberger,Bryan Barberena,335,-420,335.0,23.80952381,8/25/2018,"Lincoln, Nebraska, USA", USA,Blue,False,Welterweight,MALE,3,1,0,0,2,3,18,0,0,0,1,2,1,0,4,Southpaw,182.88,182.88,170,3,0,0,6,10,40,0,0,1,2,5,1,1,10,Orthodox,175.26,180.34,170,33,29,2,0,-4,-6,7,-22,0,-4,0,7.62,2.54,4,39.17857143,0.085714286,-0.8642857140000001,0,1,neither
902,John Moraga,Deiveson Figueiredo,150,-170,150.0,58.82352941,8/25/2018,"Lincoln, Nebraska, USA", USA,Blue,False,Flyweight,MALE,3,0,2,0,2,0,5,0,0,1,0,1,0,0,2,Orthodox,165.1,172.72,125,0,3,0,3,5,35,1,0,1,2,2,3,0,8,Orthodox,167.64,167.64,125,34,30,0,-1,-1,-6,5,-30,-1,-1,-3,-2.54,5.08,4,-7.23076923,2.153846154,0.961538462,0,1,Red
903,Eryk Anders,Tim Williams,-1200,775,8.333333332999999,775.0,8/25/2018,"Lincoln, Nebraska, USA", USA,Red,False,Middleweight,MALE,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,187.96,193.04,185,1,0,0,2,1,9,0,0,0,1,1,0,0,2,Southpaw,185.42,190.5,185,31,32,0,0,-2,-2,0,-8,0,-1,0,2.54,2.54,-1,-36.66666667,0.0,-2.0,0,1,neither
904,James Krause,Warlley Alves,270,-330,270.0,30.303030300000003,8/25/2018,"Lincoln, Nebraska, USA", USA,Red,False,Welterweight,MALE,3,0,2,0,4,2,20,1,0,0,2,0,3,1,6,Orthodox,180.34,182.88,170,0,4,0,4,3,21,0,0,0,3,1,2,0,6,Orthodox,187.96,185.42,170,32,27,0,-2,0,0,1,-1,1,0,1,-7.62,-2.54,5,-21.66666667,0.083333333,0.097222222,0,1,neither
905,Cory Sandhagen,Iuri Alcantara,-200,170,50.0,170.0,8/25/2018,"Lincoln, Nebraska, USA", USA,Red,False,Bantamweight,MALE,3,0,1,0,3,7,38,0,0,1,4,3,2,0,10,Southpaw,175.26,180.34,135,0,1,0,1,0,2,0,0,0,0,1,0,0,1,Switch,180.34,177.8,135,26,38,0,0,2,9,-7,36,0,2,2,-5.08,2.54,-12,-52.76470588,0.470588235,-0.058823529000000006,0,1,neither
906,Andrew Sanchez,Markus Perez,-140,120,71.42857143,120.0,8/25/2018,"Lincoln, Nebraska, USA", USA,Red,False,Middleweight,MALE,3,0,1,0,1,1,4,0,0,0,0,0,1,0,1,Orthodox,185.42,185.42,185,2,0,0,2,2,12,1,0,0,2,0,0,0,2,Orthodox,185.42,187.96,185,30,30,2,1,-1,-1,1,-8,-1,0,1,0.0,-2.54,0,-49.0,1.5,-1.75,0,1,neither
907,Mickey Gall,George Sullivan,-325,295,30.76923077,295.0,8/25/2018,"Lincoln, Nebraska, USA", USA,Red,False,Welterweight,MALE,3,2,0,0,2,3,14,0,0,0,2,1,0,0,3,Orthodox,182.88,185.42,170,1,0,0,3,1,7,0,0,0,0,0,3,0,3,Switch,187.96,187.96,170,26,37,-1,0,-1,0,-2,7,0,1,-3,-5.08,-2.54,-11,29.16666667,-1.5,0.25,0,1,neither
908,Joanne Calderwood,Kalindra Faria,-185,160,54.05405405,160.0,8/25/2018,"Lincoln, Nebraska, USA", USA,Red,False,Women's Flyweight,FEMALE,3,2,0,0,0,2,4,0,0,0,0,0,0,0,0,Switch,170.18,157.0,125,2,0,0,2,3,14,0,0,0,2,1,0,0,3,Orthodox,167.64,165.1,125,32,32,0,0,-2,-3,1,-10,0,-1,0,2.54,-8.1,0,-47.83333333,0.5,-0.833333333,0,1,neither
909,Drew Dober,Jon Tuck,-240,200,41.66666667,200.0,8/25/2018,"Lincoln, Nebraska, USA", USA,Red,False,Lightweight,MALE,3,0,1,0,1,4,20,0,0,0,1,1,2,0,4,Orthodox,180.34,185.42,155,0,2,0,2,5,20,0,0,0,2,2,1,0,5,Southpaw,172.72,177.8,155,29,33,0,-1,-1,-1,1,0,0,-1,1,7.62,7.62,-4,-1.325,0.65,-0.125,0,1,neither
910,Rani Yahya,Luke Sanders,-105,-115,95.23809524,86.95652174,8/25/2018,"Lincoln, Nebraska, USA", USA,Red,False,Bantamweight,MALE,3,0,1,0,1,2,8,0,0,0,1,0,1,0,2,Southpaw,167.64,170.18,135,0,2,0,4,4,35,0,0,1,4,0,5,0,10,Orthodox,167.64,170.18,135,33,32,0,-1,-3,-8,2,-27,0,0,-4,0.0,0.0,1,31.28571429,-1.107142857,-2.1785714290000002,0,1,neither
911,TJ Dillashaw,Cody Garbrandt,-125,105,80.0,105.0,8/4/2018,"Los Angeles, California, USA", USA,Red,True,Bantamweight,MALE,5,1,0,0,6,1,16,2,0,0,2,4,0,0,6,Orthodox,172.72,165.1,135,0,3,0,4,3,41,6,0,0,4,6,1,0,11,Orthodox,167.64,170.18,125,32,27,-1,-3,2,-5,2,-25,-4,-2,-1,5.08,-5.08,5,-33.78571429,-0.857142857,-0.7857142859999999,0,1,Red
912,Demetrious Johnson,Henry Cejudo,-470,375,21.27659574,375.0,8/4/2018,"Los Angeles, California, USA", USA,Blue,True,Flyweight,MALE,5,0,2,0,4,2,21,1,0,1,4,1,0,0,6,Orthodox,162.56,162.56,135,0,13,0,13,2,64,13,0,1,7,2,5,0,15,Orthodox,160.02,167.64,125,31,31,0,-11,-9,-9,0,-43,-12,-1,-5,2.54,-5.08,0,-17.86029412,-0.580882353,-2.2941176469999998,0,1,Red
913,Cub Swanson,Renato Moicano,250,-300,250.0,33.33333333,8/4/2018,"Los Angeles, California, USA", USA,Blue,False,Featherweight,MALE,3,0,1,0,3,1,14,0,0,2,1,0,1,0,4,Orthodox,180.34,182.88,145,2,0,0,6,5,45,0,0,0,6,4,0,0,10,Orthodox,172.72,177.8,145,34,29,2,1,-3,-6,4,-31,0,-4,1,7.62,5.08,5,12.93333333,0.066666667,0.26666666699999997,0,1,Red
914,Polyana Viana,JJ Aldrich,-155,135,64.51612903,135.0,8/4/2018,"Los Angeles, California, USA", USA,Blue,False,Women's Strawweight,FEMALE,3,0,2,0,2,1,9,0,0,0,2,0,0,0,2,Southpaw,165.1,170.18,125,0,1,0,1,0,1,0,0,0,0,0,1,0,1,Orthodox,165.1,170.18,115,26,25,0,1,1,1,-1,8,0,0,-1,0.0,0.0,1,49.0,-3.0,-0.666666667,0,1,neither
915,Thiago Santos,Kevin Holland,-340,280,29.41176471,280.0,8/4/2018,"Los Angeles, California, USA", USA,Red,False,Middleweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,205.74,185,1,0,0,4,5,21,0,0,0,1,8,0,0,9,Orthodox,187.96,193.04,205,34,25,1,0,-4,-9,5,-21,0,-8,0,2.54,12.7,9,-24.0,0.0,-0.14285714300000002,0,1,Red
916,Pedro Munhoz,Brett Johns,-210,175,47.61904762,175.0,8/4/2018,"Los Angeles, California, USA", USA,Red,False,Bantamweight,MALE,3,1,0,0,3,1,10,0,0,0,2,0,1,0,3,Orthodox,170.18,180.34,135,1,0,0,4,4,18,0,0,0,1,1,3,0,5,Orthodox,167.64,165.1,135,31,26,0,0,-1,-2,3,-8,0,-1,-2,2.54,15.24,5,-2.41666667,-0.27777777800000003,2.972222222,0,1,Red
917,Ricky Simon,Montel Jackson,105,-125,105.0,80.0,8/4/2018,"Los Angeles, California, USA", USA,Red,False,Bantamweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,177.8,190.5,135,0,1,0,1,0,3,0,0,0,0,1,0,0,1,Orthodox,167.64,175.26,135,25,26,0,-1,-1,-1,0,-3,0,-1,0,10.16,15.24,-1,-34.0,-1.0,-2.0,0,1,neither
918,Ricardo Ramos,Kyung Ho Kang,-275,235,36.36363636,235.0,8/4/2018,"Los Angeles, California, USA", USA,Red,False,Bantamweight,MALE,3,0,3,0,3,2,13,0,0,1,0,0,2,0,3,Orthodox,175.26,185.42,135,0,2,0,2,0,6,0,0,0,1,1,0,0,2,Orthodox,175.26,182.88,135,23,30,0,1,1,1,-2,7,0,-1,2,0.0,2.54,-7,-18.9,0.9,0.7,0,1,neither
919,Matt Sayles,Sheymon Moraes,-140,120,71.42857143,120.0,8/4/2018,"Los Angeles, California, USA", USA,Blue,False,Featherweight,MALE,3,1,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,172.72,182.88,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,145,24,27,-1,0,0,0,-1,3,0,0,0,2.54,10.16,-3,18.0,0.0,0.0,0,1,neither
920,Alex Perez,Jose Torres,-120,100,83.33333333,100.0,8/4/2018,"Los Angeles, California, USA", USA,Red,False,Flyweight,MALE,3,0,1,0,1,0,2,0,0,0,0,1,0,0,1,Orthodox,162.56,165.1,125,0,2,0,2,0,5,0,0,0,1,0,1,0,2,Orthodox,167.64,165.1,135,26,26,0,-1,-1,-1,0,-3,0,1,-1,-5.08,0.0,0,-4.5,-1.5,-2.5,0,1,neither
921,Danielle Taylor,Weili Zhang,260,-320,260.0,31.25,8/4/2018,"Los Angeles, California, USA", USA,Blue,False,Women's Strawweight,FEMALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Switch,162.56,160.0,115,1,0,0,2,2,12,0,0,1,1,0,0,0,2,Orthodox,152.4,152.4,115,28,28,1,0,-2,-2,2,-12,0,0,0,10.16,7.6,0,-43.0,0.0,-0.25,0,1,neither
922,Marlon Vera,Wuliji Buren,-470,375,21.27659574,375.0,8/4/2018,"Los Angeles, California, USA", USA,Red,False,Bantamweight,MALE,3,1,0,0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,175.26,175.26,135,2,0,0,3,4,21,0,0,0,1,1,2,0,4,Switch,172.72,177.8,135,25,29,1,0,-3,-4,3,-18,0,-1,-2,2.54,-2.54,-4,-20.75,-1.0,3.625,0,1,neither
923,Eddie Alvarez,Dustin Poirier,135,-155,135.0,64.51612903,7/28/2018,"Calgary, Alberta, Canada", Canada,Blue,False,Lightweight,MALE,5,0,2,0,4,5,43,0,1,0,4,7,3,0,15,Southpaw,175.26,182.88,155,0,1,0,3,3,17,2,0,2,0,2,0,0,4,Orthodox,175.26,175.26,155,34,29,0,1,1,11,-2,26,-2,5,3,0.0,7.62,5,-1.12857143,0.55,-0.514285714,0,1,Red
924,Jose Aldo,Jeremy Stephens,100,-120,100.0,83.33333333,7/28/2018,"Calgary, Alberta, Canada", Canada,Red,False,Featherweight,MALE,3,0,3,0,3,13,75,0,0,1,6,7,0,1,15,Orthodox,172.72,180.34,145,2,0,0,7,3,42,11,0,0,6,2,0,0,8,Orthodox,170.18,177.8,145,31,32,2,3,-4,7,-10,33,-11,6,0,2.54,2.54,-1,-21.11038961,0.084415584,-0.12662337699999998,0,1,Red
925,Joanna Jedrzejczyk,Tecia Torres,-320,260,31.25,260.0,7/28/2018,"Calgary, Alberta, Canada", Canada,Red,False,Women's Strawweight,FEMALE,3,1,0,0,3,2,23,0,0,0,5,0,1,0,6,Orthodox,154.94,152.4,115,2,0,0,8,2,37,8,0,1,5,2,0,0,8,Orthodox,167.64,165.1,125,30,28,1,0,-5,-2,0,-14,-8,-2,1,-12.7,-12.7,2,-54.75,0.125,0.675,0,1,Red
926,Alexander Hernandez,Olivier Aubin-Mercier,-110,-110,90.90909091,90.90909091,7/28/2018,"Calgary, Alberta, Canada", Canada,Red,False,Lightweight,MALE,3,0,4,0,4,2,23,1,0,1,1,1,4,0,7,Southpaw,175.26,177.8,155,0,1,0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,175.26,182.88,155,25,29,0,3,3,6,-2,22,1,0,4,0.0,-5.08,-4,23.22222222,0.444444444,2.333333333,0,1,Red
927,Jordan Mein,Alex Morono,-150,130,66.66666667,130.0,7/28/2018,"Calgary, Alberta, Canada", Canada,Red,False,Welterweight,MALE,3,0,1,0,2,2,12,0,0,1,1,0,1,0,3,Orthodox,180.34,182.88,170,0,1,0,2,4,18,0,0,1,1,2,0,0,4,Orthodox,182.88,185.42,170,28,27,0,0,0,-1,2,-6,0,-2,1,-2.54,-2.54,1,15.425,0.15,-1.375,0,1,neither
928,Hakeem Dawodu,Austin Arnett,-470,375,21.27659574,375.0,7/28/2018,"Calgary, Alberta, Canada", Canada,Red,False,Featherweight,MALE,3,1,0,0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,145,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,172.72,185.42,145,27,26,0,0,0,0,0,1,0,0,0,10.16,-2.54,1,29.0,0.0,1.0,0,1,neither
929,Kajan Johnson,Islam Makhachev,450,-600,450.0,16.66666667,7/28/2018,"Calgary, Alberta, Canada", Canada,Blue,False,Lightweight,MALE,3,0,3,0,3,1,10,0,0,0,2,1,1,0,4,Orthodox,177.8,177.8,155,0,4,0,4,1,15,0,0,1,2,1,0,0,4,Orthodox,180.34,190.5,155,34,26,0,-1,-1,0,0,-5,0,0,1,-2.54,-12.7,8,-14.2,0.4,0.6,0,1,neither
930,Gadzhimurad Antigulov,Ion Cutelaba,115,-135,115.0,74.07407407,7/28/2018,"Calgary, Alberta, Canada", Canada,Blue,False,Light Heavyweight,MALE,3,0,1,0,1,2,10,0,0,0,1,1,0,0,2,Southpaw,185.42,190.5,205,0,2,0,2,0,2,0,0,0,0,0,2,0,2,Orthodox,180.34,177.8,205,31,24,0,-1,-1,0,-2,8,0,1,-2,5.08,12.7,7,42.25,-1.0,0.5,0,1,Red
931,John Makdessi,Ross Pearson,-235,195,42.55319149,195.0,7/28/2018,"Calgary, Alberta, Canada", Canada,Red,False,Lightweight,MALE,3,0,1,0,3,12,62,1,0,2,5,4,0,1,12,Orthodox,172.72,175.26,155,0,1,0,3,6,33,0,0,1,4,3,0,0,8,Orthodox,172.72,172.72,155,33,33,0,0,0,4,-6,29,1,2,0,0.0,2.54,0,-13.73214286,0.0,0.625,0,1,neither
932,Alexis Davis,Katlyn Chookagian,140,-160,140.0,62.5,7/28/2018,"Calgary, Alberta, Canada", Canada,Blue,False,Women's Flyweight,FEMALE,3,0,2,0,2,1,12,0,0,1,2,0,0,0,3,Orthodox,175.26,172.72,125,0,2,0,3,2,20,1,0,2,3,0,1,0,6,Orthodox,167.64,172.72,125,33,29,0,0,-1,-3,1,-8,-1,0,-1,7.62,0.0,4,25.25,-0.875,-0.625,0,1,Red
933,Dustin Ortiz,Matheus Nicolau,170,-200,170.0,50.0,7/28/2018,"Calgary, Alberta, Canada", Canada,Red,False,Flyweight,MALE,3,0,3,0,3,0,9,0,0,1,1,0,1,0,3,Orthodox,167.64,167.64,125,0,2,0,2,5,33,0,0,3,1,3,0,0,7,Orthodox,165.1,165.1,125,29,25,0,1,1,-4,5,-24,0,-3,1,2.54,2.54,4,20.0,1.583333334,-0.666666667,0,1,Red
934,Randa Markos,Nina Ansaroff,120,-140,120.0,71.42857143,7/28/2018,"Calgary, Alberta, Canada", Canada,Blue,False,Women's Strawweight,FEMALE,3,0,2,0,2,2,12,0,0,0,1,0,1,0,2,Orthodox,165.1,162.56,115,0,1,0,1,4,22,0,0,1,3,0,0,0,4,Orthodox,162.56,160.02,115,32,32,0,1,1,-2,2,-10,0,0,1,2.54,2.54,0,34.5,0.75,-1.0,0,1,Red
935,Devin Powell,Alvaro Herrera,-105,-115,95.23809524,86.95652174,7/28/2018,"Calgary, Alberta, Canada", Canada,Red,False,Lightweight,MALE,3,2,0,0,1,2,4,0,0,0,0,1,0,0,1,Orthodox,182.88,187.96,155,2,0,0,0,2,6,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,155,30,28,0,0,1,1,0,-2,0,1,0,0.0,2.54,2,-26.5,-0.666666667,0.0,0,1,neither
936,Mauricio Rua,Anthony Smith,-150,130,66.66666667,130.0,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,False,Light Heavyweight,MALE,5,0,1,0,3,3,18,0,0,0,1,4,0,0,5,Orthodox,193.04,193.04,205,0,3,0,3,8,44,3,0,1,1,7,0,0,9,Orthodox,185.42,193.04,205,36,29,0,-2,0,-4,5,-26,-3,-3,0,7.62,0.0,7,-10.44852941,0.014705882,-0.860294118,0,1,Red
937,Glover Teixeira,Corey Anderson,-120,100,83.33333333,100.0,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,False,Light Heavyweight,MALE,3,0,1,0,3,4,28,1,0,0,5,2,0,0,7,Orthodox,190.5,200.66,205,0,1,0,5,4,32,1,0,0,2,4,3,1,10,Orthodox,187.96,193.04,205,38,28,0,0,-2,-3,0,-4,0,-3,-3,2.54,7.62,10,21.61688312,-0.428571429,2.6623376619999997,0,1,Red
938,Vitor Miranda,Abu Azaitar,175,-210,175.0,47.61904762,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,False,Middleweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,193.04,185,2,0,0,3,3,14,1,0,0,0,3,0,0,3,Orthodox,185.42,195.58,185,39,32,2,0,-3,-3,3,-14,-1,-3,0,-10.16,-2.54,7,-36.0,0.0,-0.333333333,0,1,neither
939,Marcin Tybura,Stefan Struve,-190,165,52.63157895,165.0,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Red,False,Heavyweight,MALE,3,2,0,0,4,8,38,0,1,0,1,5,5,0,12,Orthodox,210.82,213.36,265,2,0,0,3,3,19,0,0,0,1,2,0,0,3,Orthodox,190.5,198.12,249,32,30,0,0,1,9,-5,19,0,3,5,20.32,15.24,2,-30.26666667,0.833333333,-0.7,0,1,Red
940,Danny Roberts,David Zawada,-210,175,47.61904762,175.0,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Red,False,Welterweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,170,0,1,0,2,2,11,0,0,0,1,2,1,0,4,Southpaw,185.42,187.96,170,31,27,0,-1,-2,-4,2,-11,0,-2,-1,-2.54,2.54,4,-29.33333333,-0.166666667,0.0,0,1,neither
941,Nasrat Haqparast,Marc Diakiese,140,-160,140.0,62.5,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Red,False,Lightweight,MALE,3,1,0,0,3,1,9,0,0,0,1,2,0,0,3,Orthodox,177.8,185.42,155,1,0,0,0,1,3,0,0,0,0,0,0,0,0,Southpaw,177.8,182.88,155,22,25,0,0,3,3,0,6,0,2,0,0.0,2.54,-3,-5.25,0.0,0.75,0,1,neither
942,Nick Hein,Damir Hadzovic,-150,130,66.66666667,130.0,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,False,Lightweight,MALE,3,1,0,0,1,2,7,0,0,0,0,1,0,0,1,Orthodox,175.26,177.8,155,1,0,0,3,2,16,0,0,0,4,0,0,0,4,Southpaw,167.64,167.64,155,34,31,0,0,-2,-3,0,-9,0,1,0,7.62,10.16,3,-17.66666667,0.333333333,-0.833333333,0,1,neither
943,Emil Meek,Bartosz Fabinski,-140,120,71.42857143,120.0,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,False,Welterweight,MALE,3,0,2,0,2,0,6,0,0,0,2,0,0,0,2,Orthodox,182.88,190.5,170,1,0,0,1,1,6,0,0,0,1,0,0,0,1,Switch,180.34,187.96,170,29,32,1,2,1,1,1,0,0,0,0,2.54,2.54,-3,-7.0,-1.5,7.5,0,1,neither
944,Khalid Taha,Nad Narimani,180,-220,180.0,45.45454545,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,False,Featherweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,175.26,135,26,31,0,0,0,0,0,0,0,0,0,7.62,2.54,-5,0.0,0.0,0.0,0,1,neither
945,Justin Ledet,Aleksandar Rakic,-105,-115,95.23809524,86.95652174,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,False,Light Heavyweight,MALE,3,0,1,0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,193.04,198.12,205,0,3,0,3,0,7,0,0,1,1,0,1,0,3,Orthodox,193.04,203.2,205,29,26,0,-2,-2,-2,0,-4,0,0,-1,0.0,-5.08,3,-4.66666667,-0.333333333,-0.333333333,0,1,neither
946,Davey Grant,Manny Bermudez,260,-320,260.0,31.25,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,False,Bantamweight,MALE,3,0,1,0,1,0,2,0,0,0,0,0,1,0,1,Orthodox,177.8,180.34,135,1,0,0,1,2,8,1,0,0,1,0,0,0,1,Orthodox,172.72,175.26,135,32,24,1,1,0,0,2,-6,-1,0,1,5.08,5.08,8,-30.0,3.0,0.0,0,1,neither
947,Jeremy Kimball,Darko Stosic,190,-230,190.0,43.47826087,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,False,Light Heavyweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,193.04,205,1,0,0,1,2,3,0,0,0,0,1,0,0,1,Switch,182.88,182.88,205,27,26,1,0,-1,-1,2,-3,0,-1,0,0.0,10.16,1,-8.666666667000001,0.0,-0.333333333,0,1,neither
948,Damian Stasiak,Liu Pingyuan,-125,105,80.0,105.0,7/22/2018,"Hamburg, Hamburg, Germany", Germany,Blue,False,Bantamweight,MALE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,182.88,135,2,0,0,2,3,13,0,0,0,0,0,2,0,2,Orthodox,165.1,177.8,135,28,25,2,0,-2,-2,3,-13,0,0,-2,2.54,5.08,3,-22.6,-0.6,-2.0,0,1,neither
949,Junior Dos Santos,Blagoy Ivanov,-190,165,52.63157895,165.0,7/14/2018,"Boise, Idaho, USA", USA,Red,False,Heavyweight,MALE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Southpaw,180.34,185.42,250,1,0,0,9,4,42,5,0,0,4,8,0,0,12,Orthodox,193.04,195.58,238,34,31,1,0,-9,-12,4,-42,-5,-8,0,-12.7,-10.16,3,-56.1875,-0.0625,-0.3125,0,1,Red
950,Sage Northcutt,Zak Ottow,-125,-105,80.0,95.23809524,7/14/2018,"Boise, Idaho, USA", USA,Red,False,Welterweight,MALE,3,0,1,0,1,2,11,0,0,2,0,1,0,0,3,Orthodox,180.34,182.88,170,0,2,0,2,2,16,0,0,0,3,1,1,0,5,Orthodox,182.88,180.34,170,22,31,0,-1,-1,-2,0,-5,0,0,-1,-2.54,2.54,-9,-0.11428571,-0.085714286,-0.7428571429999999,0,1,neither
951,Dennis Bermudez,Rick Glenn,-185,160,54.05405405,160.0,7/14/2018,"Boise, Idaho, USA", USA,Blue,False,Featherweight,MALE,3,1,0,0,2,2,12,0,0,1,1,0,0,0,2,Southpaw,182.88,177.8,145,3,0,0,7,6,36,1,0,2,4,1,2,0,9,Orthodox,167.64,167.64,155,31,29,2,0,-5,-7,4,-24,-1,-1,-2,15.24,10.16,2,15.5,-0.55,-1.6666666669999999,0,1,neither
952,Randy Brown,Niko Price,-130,110,76.92307692,110.0,7/14/2018,"Boise, Idaho, USA", USA,Blue,False,Welterweight,MALE,3,0,1,0,1,2,8,0,0,0,0,1,2,0,3,Orthodox,182.88,193.04,170,0,1,0,2,2,16,0,0,0,2,1,1,0,4,Orthodox,190.5,198.12,170,28,28,0,0,-1,-1,0,-8,0,0,1,-7.62,-5.08,0,-16.56666667,0.5,-0.066666667,0,1,neither
